data,fascia_eta,dosi_somministrate_prima,dosi_somministrate_seconda,dosi_somministrate_tot,dosi_somministrate_prima_per_1k_abitanti,dosi_somministrate_seconda_per_1k_abitanti,data_ultimo_check
2021-01-22T19:03:32,20-29,132062,2986,135048,21.45,0.48,2021-01-22T23:58:02
2021-01-22T19:03:32,30-39,196711,6890,203601,28.29,0.99,2021-01-22T23:58:02
2021-01-22T19:03:32,40-49,247584,8881,256465,27.39,0.98,2021-01-22T23:58:02
2021-01-22T19:03:32,50-59,332499,11821,344320,35.0,1.24,2021-01-22T23:58:02
2021-01-22T19:03:32,60-69,202708,7080,209788,27.3,0.95,2021-01-22T23:58:02
2021-01-22T19:03:32,70-79,45050,704,45754,7.5,0.12,2021-01-22T23:58:02
2021-01-22T19:03:32,80-89,64409,1026,65435,17.66,0.28,2021-01-22T23:58:02
2021-01-22T19:03:32,90+,49357,902,50259,62.12,1.14,2021-01-22T23:58:02
2021-01-22T19:03:32,16+,1271982,40293,1312275,24.53,0.78,2021-01-22T23:58:02
2021-01-23T20:01:07,16-19,1306,16,1322,0.56,0.01,2021-01-23T23:58:01
2021-01-23T20:01:07,20-29,131169,5844,137013,21.3,0.95,2021-01-23T23:58:01
2021-01-23T20:01:07,30-39,196654,12457,209111,28.28,1.79,2021-01-23T23:58:01
2021-01-23T20:01:07,40-49,246137,15737,261874,27.23,1.74,2021-01-23T23:58:01
2021-01-23T20:01:07,50-59,331333,20549,351882,34.87,2.16,2021-01-23T23:58:01
2021-01-23T20:01:07,60-69,203743,12412,216155,27.44,1.67,2021-01-23T23:58:01
2021-01-23T20:01:07,70-79,45891,1253,47144,7.64,0.21,2021-01-23T23:58:01
2021-01-23T20:01:07,80-89,65581,1810,67391,17.98,0.5,2021-01-23T23:58:01
2021-01-23T20:01:07,90+,50372,1616,51988,63.4,2.03,2021-01-23T23:58:01
2021-01-23T20:01:07,16+,1272186,71694,1343880,24.54,1.38,2021-01-23T23:58:01
2021-01-24T20:01:05,16-19,1314,18,1332,0.57,0.01,2021-01-24T23:58:01
2021-01-24T20:01:05,20-29,131835,8596,140431,21.41,1.4,2021-01-24T23:58:01
2021-01-24T20:01:05,30-39,197547,17646,215193,28.41,2.54,2021-01-24T23:58:01
2021-01-24T20:01:05,40-49,247180,22164,269344,27.34,2.45,2021-01-24T23:58:01
2021-01-24T20:01:05,50-59,332769,29012,361781,35.02,3.05,2021-01-24T23:58:01
2021-01-24T20:01:05,60-69,204561,17673,222234,27.55,2.38,2021-01-24T23:58:01
